                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.0307,                0.63439,                 1.0148,                0.70927,                0.74364,                0.75215,                0.48647,                 1.2168,                 0.7411,                 1.1461,               0.001057,               0.001057,               0.001057
                     80,                 1.0323,                0.62766,                 1.0112,                0.75876,                0.73139,                0.76189,                0.50274,                 1.2025,                0.73406,                 1.1396,              0.0010545,              0.0010545,              0.0010545
                     81,                 1.0219,                0.63547,                 1.0126,                0.77976,                0.71316,                0.76319,                0.50079,                 1.2044,                0.74686,                 1.1372,               0.001052,               0.001052,               0.001052
                     82,                 1.0213,                0.61574,                 1.0092,                0.75579,                0.73746,                0.77185,                0.50028,                 1.2001,                0.75395,                 1.1395,              0.0010495,              0.0010495,              0.0010495
                     83,                  1.009,                 0.6098,                 1.0038,                0.74463,                0.76319,                0.76285,                0.48726,                 1.2124,                0.76171,                 1.1456,               0.001047,               0.001047,               0.001047
                     84,                 1.0121,                 0.6064,                 1.0053,                0.70217,                0.73463,                0.71533,                0.44754,                 1.2281,                0.76973,                  1.161,              0.0010446,              0.0010446,              0.0010446
                     85,                 1.0107,                 0.6147,                 1.0085,                0.75164,                0.77313,                0.77328,                 0.4834,                 1.2056,                0.70715,                 1.1445,              0.0010421,              0.0010421,              0.0010421
                     86,                 1.0124,                0.61011,                0.99911,                0.78385,                0.72171,                0.76198,                0.48988,                 1.1999,                0.72253,                 1.1378,              0.0010396,              0.0010396,              0.0010396
                     87,                 1.0097,                0.62454,                 1.0034,                0.69404,                 0.7632,                0.73898,                0.45637,                 1.2586,                0.75014,                 1.1806,              0.0010372,              0.0010372,              0.0010372
                     88,                 1.0137,                0.60608,                  1.001,                0.74303,                0.72683,                0.75762,                0.49551,                 1.2161,                0.75356,                 1.1424,              0.0010347,              0.0010347,              0.0010347
                     89,                0.99205,                0.60309,                0.99527,                0.76141,                  0.739,                0.76822,                0.49364,                 1.2225,                0.76627,                  1.152,              0.0010322,              0.0010322,              0.0010322
                     90,                0.98466,                0.58966,                0.98917,                0.77379,                 0.7571,                0.78119,                 0.4972,                 1.2073,                0.71687,                  1.145,              0.0010297,              0.0010297,              0.0010297
                     91,                0.99051,                0.59981,                0.99779,                0.68965,                0.77268,                0.73296,                0.46057,                 1.2466,                0.75259,                 1.1665,              0.0010273,              0.0010273,              0.0010273
                     92,                0.98241,                0.59691,                0.98865,                0.68085,                0.78902,                 0.7267,                0.47937,                 1.2042,                0.75081,                 1.1478,              0.0010248,              0.0010248,              0.0010248
                     93,                0.99423,                0.59572,                0.99772,                0.70753,                0.79853,                0.77501,                0.50474,                 1.2258,                0.76681,                 1.1612,              0.0010223,              0.0010223,              0.0010223
                     94,                0.97814,                0.59578,                0.99165,                0.74279,                0.69923,                0.73105,                0.47146,                 1.2269,                0.78614,                 1.1502,              0.0010198,              0.0010198,              0.0010198
                     95,                0.96584,                0.57786,                0.98529,                0.72921,                0.76097,                0.74377,                 0.4791,                 1.1996,                0.75094,                 1.1396,              0.0010173,              0.0010173,              0.0010173
                     96,                0.96807,                0.58442,                0.98239,                0.73074,                0.72689,                0.73589,                0.47793,                 1.2248,                0.76107,                 1.1548,              0.0010149,              0.0010149,              0.0010149
                     97,                0.97077,                0.58527,                0.97978,                0.76843,                0.72925,                0.77862,                0.51148,                 1.2116,                0.72853,                 1.1517,              0.0010124,              0.0010124,              0.0010124
                     98,                0.95618,                0.57653,                 0.9924,                0.75797,                0.74405,                0.75176,                0.49323,                 1.1911,                0.73911,                 1.1443,              0.0010099,              0.0010099,              0.0010099
                     99,                0.97536,                0.58608,                0.98741,                0.75459,                0.74557,                0.76551,                0.49527,                 1.2255,                0.74046,                 1.1516,              0.0010075,              0.0010075,              0.0010075
                    100,                0.98001,                0.57572,                0.98705,                0.73241,                0.75145,                0.76402,                0.49615,                 1.2135,                0.73503,                 1.1506,               0.001005,               0.001005,               0.001005
                    101,                0.95429,                0.56226,                0.97153,                0.79072,                0.70961,                0.76552,                0.50313,                  1.212,                0.72347,                 1.1465,              0.0010025,              0.0010025,              0.0010025
                    102,                 0.9406,                0.55758,                0.98181,                0.79191,                0.73597,                0.76925,                0.49831,                 1.2143,                0.75997,                 1.1521,                  0.001,                  0.001,                  0.001
                    103,                0.96854,                0.57052,                0.98059,                0.75699,                0.72021,                0.76651,                0.49745,                 1.2253,                0.72949,                 1.1502,             0.00099755,             0.00099755,             0.00099755
                    104,                0.96368,                0.55711,                0.98612,                0.71728,                0.77873,                0.74939,                0.48773,                 1.2006,                0.76058,                 1.1404,             0.00099507,             0.00099507,             0.00099507
                    105,                0.96195,                0.55932,                0.98141,                0.74349,                0.70948,                0.76601,                0.49344,                 1.2292,                 0.7587,                 1.1586,              0.0009926,              0.0009926,              0.0009926
                    106,                0.93945,                0.55621,                0.97264,                 0.6677,                0.78779,                0.73068,                0.48305,                 1.2005,                0.73699,                 1.1442,             0.00099013,             0.00099013,             0.00099013
                    107,                0.94542,                0.54963,                0.97644,                0.76671,                0.74018,                0.77171,                0.49916,                 1.2205,                0.74318,                 1.1555,             0.00098765,             0.00098765,             0.00098765
                    108,                0.93926,                0.54616,                0.97091,                0.75201,                0.72097,                0.74325,                0.48396,                 1.2126,                0.74553,                  1.153,             0.00098518,             0.00098518,             0.00098518
                    109,                0.92806,                0.54266,                0.96795,                0.68981,                0.76724,                0.74822,                0.49674,                 1.1873,                  0.747,                 1.1424,              0.0009827,              0.0009827,              0.0009827
                    110,                0.92612,                0.54033,                0.96991,                0.74403,                0.74468,                0.73923,                0.47339,                  1.212,                0.75237,                 1.1564,             0.00098022,             0.00098022,             0.00098022
                    111,                0.92529,                0.53306,                0.96456,                0.71337,                0.74275,                0.74012,                0.48337,                 1.2247,                0.80018,                 1.1638,             0.00097775,             0.00097775,             0.00097775
                    112,                0.92729,                0.53598,                0.96602,                0.72792,                0.75211,                0.74261,                0.48746,                 1.2051,                0.77208,                 1.1501,             0.00097528,             0.00097528,             0.00097528
                    113,                0.92989,                0.54231,                0.96962,                0.73289,                0.76511,                0.75507,                0.48807,                 1.1996,                0.75509,                 1.1449,              0.0009728,              0.0009728,              0.0009728
                    114,                0.92458,                0.54108,                0.96529,                0.75029,                0.73656,                0.72941,                0.48508,                 1.2048,                0.75396,                 1.1499,             0.00097033,             0.00097033,             0.00097033
                    115,                0.92106,                0.53264,                0.96314,                0.78102,                0.72153,                0.75445,                0.49326,                 1.2024,                0.74551,                 1.1483,             0.00096785,             0.00096785,             0.00096785
                    116,                0.91635,                0.53019,                0.96414,                0.71204,                0.72227,                0.74358,                0.48819,                  1.205,                0.75911,                 1.1479,             0.00096537,             0.00096537,             0.00096537
